condition,label,group,n,n_correct,accuracy,ci_low,ci_high,parse_failures,mean_tool_calls,status
A,A,anchor,1066,443,0.4155722326454034,0.3863429040973302,0.4454078674623948,1,0.0,ok
B,B,anchor,1066,536,0.5028142589118199,0.4728434832783277,0.5327648243363481,11,0.6163227016885553,ok
B_prime,B',anchor,1066,763,0.7157598499061913,0.6879459715235011,0.7420242789349792,20,3.726078799249531,ok
B_prime_E,B'+E (upfront),primary,1066,773,0.725140712945591,0.6975681867294906,0.7510964224445761,23,3.773921200750469,ok
B_prime_E_reactive,B'+E (reactive),primary,1066,770,0.7223264540337712,0.6946799949551645,0.7483763066042264,24,3.7298311444652907,ok
B_prime_E_reactive_citations,B'+E (reactive + citations),primary,1066,773,0.725140712945591,0.6975681867294906,0.7510964224445761,27,3.74108818011257,ok
B_prime_E_reactive_kshot,B'+E (reactive + k-shot),primary,1066,768,0.7204502814258912,0.6927552647435044,0.7465621650727693,22,3.725140712945591,ok
C,C,exploratory,1066,737,0.6913696060037523,0.6629941361752835,0.7183707816226731,15,3.4409005628517826,ok
D,D,exploratory,1066,754,0.7073170731707317,0.679298216248517,0.733847111365936,18,3.8320825515947465,ok
