,label,left,right,n_paired,accuracy_left,accuracy_right,delta_pp,mcnemar_b,mcnemar_c,p_uncorrected,status
B_prime_E_upfront_vs_reactive,B_prime_E_upfront_vs_reactive,B_prime_E,B_prime_E_reactive,1066,0.725140712945591,0.7223264540337712,0.2814258911819856,30,27,0.7910815129207817,ok
C_vs_B_prime,C_vs_B_prime,C,B_prime,1066,0.6913696060037523,0.7157598499061913,-2.4390243902439046,61,87,0.03988022740117013,ok
B_prime_E_reactive_vs_C,B_prime_E_reactive_vs_C,B_prime_E_reactive,C,1066,0.7223264540337712,0.6913696060037523,3.0956848030018858,88,55,0.007451232927509016,ok
D_vs_B_prime,D_vs_B_prime,D,B_prime,1066,0.7073170731707317,0.7157598499061913,-0.8442776735459678,38,47,0.385546631571102,ok
