condition,label,group,n_subset,accuracy_on_subset,ci_low,ci_high
A,A,anchor,166,0.1566265060240964,0.10918400638520999,0.2196017871921247
B,B,anchor,166,0.6566265060240963,0.581584516689834,0.724583366941557
B_prime,B',anchor,166,0.7530120481927711,0.6821792456442569,0.8123996432987596
B_prime_E,B'+E (upfront),primary,166,0.7469879518072289,0.6757820657121671,0.8070211353988728
B_prime_E_reactive,B'+E (reactive),primary,166,0.7469879518072289,0.6757820657121671,0.8070211353988728
B_prime_E_reactive_citations,B'+E (reactive + citations),primary,166,0.7590361445783133,0.688592861758141,0.817761715016852
B_prime_E_reactive_kshot,B'+E (reactive + k-shot),primary,166,0.7228915662650602,0.650350446117743,0.7853500036653907
C,C,exploratory,166,0.7228915662650602,0.650350446117743,0.7853500036653907
D,D,exploratory,166,0.7168674698795181,0.644030185637065,0.779894576314092
