condition,label,group,status,accuracy,mean_total_tokens,median_latency_s,latency_source,latency_n,mean_model_calls,mean_api_prompt_tokens,mean_api_completion_tokens,mean_api_elapsed_s,mean_on_gpu_prompt_tokens,mean_on_gpu_completion_tokens
A,A,anchor,ok,0.4155722326454034,2975.621951219512,,MISSING — run 02 §9 latency pass,0,1.0,0.0,0.0,,228.79643527204502,2746.825515947467
B,B,anchor,ok,0.5028142589118199,8327.787054409006,15.502641081809998,fixed-concurrency timing pass (1 worker),50,1.6069418386491556,0.0,0.0,0.0,5833.59287054409,2494.1941838649154
B_prime,B',anchor,ok,0.7157598499061913,29900.56378986867,47.48276400566101,fixed-concurrency timing pass (1 worker),50,4.710131332082551,0.0,0.0,0.0,25625.43621013133,4275.1275797373355
B_prime_E,B'+E (upfront),primary,ok,0.725140712945591,78835.50562851783,49.87390685081482,fixed-concurrency timing pass (1 worker),50,4.873358348968105,47362.79174484053,115.46153846153847,3.1804726696014405,26911.884615384617,4445.367729831144
B_prime_E_reactive,B'+E (reactive),primary,ok,0.7223264540337712,32210.754221388368,52.05337369441986,fixed-concurrency timing pass (1 worker),50,4.874296435272045,717.2007504690431,211.20450281425892,5.058157453536987,26848.811444652907,4433.537523452158
B_prime_E_reactive_citations,B'+E (reactive + citations),primary,ok,0.725140712945591,32570.024390243903,55.45076930522919,fixed-concurrency timing pass (1 worker),50,4.893058161350845,827.7636022514072,235.46341463414635,5.910287709236145,27051.746716697937,4455.050656660413
B_prime_E_reactive_kshot,B'+E (reactive + k-shot),primary,ok,0.7204502814258912,34121.18198874297,68.68383228778839,fixed-concurrency timing pass (1 worker),50,4.876172607879925,2169.6191369606004,653.0984990619137,15.539370398521424,26847.183864915572,4451.280487804878
C,C,exploratory,ok,0.6913696060037523,29785.282363977487,54.76292037963867,fixed-concurrency timing pass (1 worker),50,4.429643527204503,0.0,0.0,0.0,25282.86116322702,4502.421200750469
D,D,exploratory,ok,0.7073170731707317,31950.589118198874,56.936766028404236,fixed-concurrency timing pass (1 worker),50,5.859287054409005,799.6491557223264,171.01313320825517,16.270901679992676,26486.401500938086,4493.525328330206
